L,M,target,targetFraction,normalizedSignedRatio,cancellationConditionNumber,orderedQuarticPaths,classification
1,256,218,0.8515625,0.00054296817918834223,120.48995614623681,123426,finite long-double observation
1,256,219,0.85546875,0.00029697914026421024,221.42038812360764,122886,finite long-double observation
1,256,220,0.859375,0.00023829458810122419,277.33198694743987,122340,finite long-double observation
1,256,221,0.86328125,0.00058127489366185817,114.24974254244208,121788,finite long-double observation
1,256,222,0.8671875,0.00049402691940497625,135.07055691526074,121230,finite long-double observation
1,256,223,0.87109375,0.00069759662291139248,96.102144934177829,120666,finite long-double observation
1,256,224,0.875,0.00056114339790387039,120.01655136856807,120096,finite long-double observation
1,256,225,0.87890625,0.00054934171298156068,123.14056297597155,119520,finite long-double observation
1,256,226,0.8828125,0.00058879396249711597,115.38782294058791,118938,finite long-double observation
1,256,227,0.88671875,0.00048618762042260539,140.3297272479341,118350,finite long-double observation
1,256,228,0.890625,0.00063446013757181927,107.97664727258835,117756,finite long-double observation
1,256,229,0.89453125,0.00061457061376171804,111.91622342255839,117156,finite long-double observation
1,256,230,0.8984375,0.00036778297582988368,187.73861839150433,116550,finite long-double observation
1,256,231,0.90234375,0.00073576464025017934,94.196800538029777,115938,finite long-double observation
1,256,232,0.90625,0.00054376801353505895,127.92054884491904,115320,finite long-double observation
1,256,233,0.91015625,0.00080368224120895007,86.855482034720779,114696,finite long-double observation
