radiusOverOptimal,nearContribution,farContribution,totalBound
2.206734069085e+00,3.310101103627e+00,3.050527890267e-01,3.615153892654e+00
2.238721138568e+00,3.358081707853e+00,2.985382618918e-01,3.656619969744e+00
2.271171867280e+00,3.406757800920e+00,2.921628551495e-01,3.698920656069e+00
2.304092976056e+00,3.456139464084e+00,2.859235978271e-01,3.742063061911e+00
2.337491283153e+00,3.506236924730e+00,2.798175823977e-01,3.786054507128e+00
2.371373705662e+00,3.557060558492e+00,2.738419634264e-01,3.830902521919e+00
2.405747260934e+00,3.608620891401e+00,2.679939562435e-01,3.876614847644e+00
2.440619068042e+00,3.660928602063e+00,2.622708356468e-01,3.923199437710e+00
2.475996349250e+00,3.713994523875e+00,2.566699346324e-01,3.970664458507e+00
2.511886431510e+00,3.767829647264e+00,2.511886431510e-01,4.019018290415e+00
2.548296747979e+00,3.822445121969e+00,2.458244068920e-01,4.068269528861e+00
2.585234839562e+00,3.877852259343e+00,2.405747260934e-01,4.118426985437e+00
2.622708356468e+00,3.934062534702e+00,2.354371543764e-01,4.169499689079e+00
2.660725059799e+00,3.991087589698e+00,2.304092976056e-01,4.221496887304e+00
2.699292823154e+00,4.048939234731e+00,2.254888127735e-01,4.274428047505e+00
2.738419634264e+00,4.107629451397e+00,2.206734069085e-01,4.328302858305e+00
2.778113596643e+00,4.167170394964e+00,2.159608360061e-01,4.383131230970e+00
2.818382931264e+00,4.227574396897e+00,2.113489039837e-01,4.438923300880e+00
2.859235978271e+00,4.288853967406e+00,2.068354616568e-01,4.495689429063e+00
2.900681198693e+00,4.351021798040e+00,2.024184057376e-01,4.553440203777e+00
2.942727176209e+00,4.414090764314e+00,1.980956778550e-01,4.612186442169e+00
2.985382618918e+00,4.478073928377e+00,1.938652635952e-01,4.671939191972e+00
3.028656361144e+00,4.542984541716e+00,1.897251915630e-01,4.732709733279e+00
3.072557365267e+00,4.608836047901e+00,1.856735324631e-01,4.794509580364e+00
3.117094723580e+00,4.675642085370e+00,1.817083982011e-01,4.857350483571e+00
3.162277660168e+00,4.743416490253e+00,1.778279410039e-01,4.921244431256e+00
3.208115532824e+00,4.812173299235e+00,1.740303525579e-01,4.986203651793e+00
3.254617834980e+00,4.881926752471e+00,1.703138631672e-01,5.052240615638e+00
3.301794197683e+00,4.952691296524e+00,1.666767409281e-01,5.119368037452e+00
3.349654391578e+00,5.024481587367e+00,1.631172909228e-01,5.187598878290e+00
3.398208328943e+00,5.097312493414e+00,1.596338544288e-01,5.256946347843e+00
3.447466065731e+00,5.171199098597e+00,1.562248081465e-01,5.327423906744e+00
3.497437803664e+00,5.246156705496e+00,1.528885634426e-01,5.399045268939e+00
3.548133892336e+00,5.322200838504e+00,1.496235656094e-01,5.471824404113e+00
3.599564831361e+00,5.399347247041e+00,1.464282931410e-01,5.545775540182e+00
3.651741272548e+00,5.477611908823e+00,1.433012570237e-01,5.620913165846e+00
3.704674022107e+00,5.557011033161e+00,1.402410000422e-01,5.697252033203e+00
3.758374042884e+00,5.637561064327e+00,1.372460961008e-01,5.774807160427e+00
3.812852456636e+00,5.719278684954e+00,1.343151495585e-01,5.853593834513e+00
3.868120546331e+00,5.802180819496e+00,1.314467945789e-01,5.933627614075e+00
3.924189758485e+00,5.886284637727e+00,1.286396944937e-01,6.014924332221e+00
3.981071705535e+00,5.971607558302e+00,1.258925411794e-01,6.097500099482e+00
4.038778168243e+00,6.058167252365e+00,1.232040544483e-01,6.181371306813e+00
4.097321098135e+00,6.145981647203e+00,1.205729814514e-01,6.266554628655e+00
4.156712619977e+00,6.235068929966e+00,1.179980960950e-01,6.353067026061e+00
4.216965034286e+00,6.325447551429e+00,1.154781984689e-01,6.440925749898e+00
4.278090819876e+00,6.417136229815e+00,1.130121142879e-01,6.530148344102e+00
4.340102636447e+00,6.510153954671e+00,1.105986943436e-01,6.620752649015e+00
4.403013327202e+00,6.604519990804e+00,1.082368139697e-01,6.712756804773e+00
4.466835921510e+00,6.700253882264e+00,1.059253725177e-01,6.806179254782e+00
4.531583637601e+00,6.797375456401e+00,1.036632928438e-01,6.901038749245e+00
4.597269885309e+00,6.895904827963e+00,1.014495208069e-01,6.997354348770e+00
4.663908268844e+00,6.995862403267e+00,9.928302477768e-02,7.095145428044e+00
4.731512589615e+00,7.097268884422e+00,9.716279515771e-02,7.194431679580e+00
4.800096849081e+00,7.200145273622e+00,9.508784390885e-02,7.295233117531e+00
4.869675251659e+00,7.304512877488e+00,9.305720409297e-02,7.397570081581e+00
4.940262207659e+00,7.410393311488e+00,9.106992942128e-02,7.501463240909e+00
5.011872336273e+00,7.517808504409e+00,8.912509381337e-02,7.606933598222e+00
5.084520468601e+00,7.626780702901e+00,8.722179096569e-02,7.714002493867e+00
5.158221650723e+00,7.737332476085e+00,8.535913392914e-02,7.822691610014e+00
5.232991146815e+00,7.849486720222e+00,8.353625469578e-02,7.933022974918e+00
5.308844442310e+00,7.963266663465e+00,8.175230379436e-02,8.045018967259e+00
5.385797247106e+00,8.078695870659e+00,8.000644989443e-02,8.158702320553e+00
5.463865498819e+00,8.195798248228e+00,7.829787941891e-02,8.274096127647e+00
5.543065366084e+00,8.314598049125e+00,7.662579616503e-02,8.391223845290e+00
5.623413251903e+00,8.435119877855e+00,7.498942093325e-02,8.510109298788e+00
5.704925797046e+00,8.557388695569e+00,7.338799116413e-02,8.630776686734e+00
5.787619883491e+00,8.681429825237e+00,7.182076058302e-02,8.753250585820e+00
5.871512637925e+00,8.807268956888e+00,7.028699885227e-02,8.877555955740e+00
5.956621435290e+00,8.934932152935e+00,6.878599123088e-02,9.003718144166e+00
6.042963902381e+00,9.064445853572e+00,6.731703824145e-02,9.131762891813e+00
6.130557921498e+00,9.195836882247e+00,6.587945534419e-02,9.261716337592e+00
6.219421634148e+00,9.329132451222e+00,6.447257261795e-02,9.393605023840e+00
6.309573444802e+00,9.464360167203e+00,6.309573444802e-02,9.527455901651e+00
6.401032024709e+00,9.601548037064e+00,6.174829922060e-02,9.663296336285e+00
6.493816315762e+00,9.740724473643e+00,6.042963902381e-02,9.801154112667e+00
6.587945534419e+00,9.881918301629e+00,5.913913935512e-02,9.941057440984e+00
6.683439175686e+00,1.002515876353e+01,5.787619883491e-02,1.008303496236e+01
6.780317017152e+00,1.017047552573e+01,5.664022892630e-02,1.022711575465e+01
6.878599123088e+00,1.031789868463e+01,5.543065366084e-02,1.037332933829e+01
6.978305848599e+00,1.046745877290e+01,5.424690937011e-02,1.052170568227e+01
7.079457843841e+00,1.061918676576e+01,5.308844442310e-02,1.067227521019e+01
7.182076058302e+00,1.077311408745e+01,5.195471896906e-02,1.082506880642e+01
7.286181745132e+00,1.092927261770e+01,5.084520468601e-02,1.098011782238e+01
7.391796465555e+00,1.108769469833e+01,4.975938453448e-02,1.113745408287e+01
7.498942093325e+00,1.124841313999e+01,4.869675251659e-02,1.129710989250e+01
7.607640819263e+00,1.141146122889e+01,4.765681344026e-02,1.145911804233e+01
7.717915155850e+00,1.157687273378e+01,4.663908268844e-02,1.162351181646e+01
7.829787941891e+00,1.174468191284e+01,4.564308599328e-02,1.179032499883e+01
7.943282347243e+00,1.191492352086e+01,4.466835921510e-02,1.195959188008e+01
8.058421877615e+00,1.208763281642e+01,4.371444812611e-02,1.213134726455e+01
8.175230379437e+00,1.226284556915e+01,4.278090819876e-02,1.230562647735e+01
8.293732044796e+00,1.244059806719e+01,4.186730439856e-02,1.248246537159e+01
8.413951416452e+00,1.262092712468e+01,4.097321098135e-02,1.266190033566e+01
8.535913392914e+00,1.280387008937e+01,4.009821129493e-02,1.284396830067e+01
8.659643233601e+00,1.298946485040e+01,3.924189758485e-02,1.302870674799e+01
8.785166564073e+00,1.317774984611e+01,3.840387080444e-02,1.321615371691e+01
8.912509381337e+00,1.336876407201e+01,3.758374042884e-02,1.340634781244e+01
9.041698059235e+00,1.356254708885e+01,3.678112427301e-02,1.359932821312e+01
9.172759353898e+00,1.375913903085e+01,3.599564831361e-02,1.379513467916e+01
9.305720409297e+00,1.395858061395e+01,3.522694651473e-02,1.399380756046e+01
9.440608762859e+00,1.416091314429e+01,3.447466065731e-02,1.419538780495e+01
9.577452351172e+00,1.436617852676e+01,3.373844017221e-02,1.439991696693e+01
9.716279515771e+00,1.457441927366e+01,3.301794197683e-02,1.460743721563e+01
9.857119009006e+00,1.478567851351e+01,3.231283031523e-02,1.481799134382e+01
1.000000000000e+01,1.500000000000e+01,3.162277660168e-02,1.503162277660e+01
