amplitude,minimumMean,pointwiseExcludedByUpperBand,j-2Mean,j-2StandardError,j-2Ci95Lower,j-2Ci95Upper,j0Mean,j0StandardError,j0Ci95Lower,j0Ci95Upper
0.0165,-0.001839373263129501,True,-0.001839373263129501,8.328882268960239e-05,-0.0020026193556011217,-0.0016761271706578805,-2.654943700407361e-05,1.810172468565455e-06,-3.0097375042461903e-05,-2.3001498965685317e-05
0.01675,-0.0018376536865161016,True,-0.0018376536865161016,8.32388567782437e-05,-0.0020008018458014592,-0.001674505527230744,-2.6953343733200792e-05,1.8365640592908864e-06,-3.055300928941093e-05,-2.3353678176990654e-05
0.017,-0.0018359295528644994,True,-0.0018359295528644994,8.318899971421602e-05,-0.001998979992304363,-0.001672879113424636,-2.7357588602184153e-05,1.8629234757451602e-06,-3.1008918614644664e-05,-2.370625858972364e-05
0.01725,-0.001834200782473833,True,-0.001834200782473833,8.313925276950019e-05,-0.001997153717902053,-0.0016712478470456125,-2.7762184365834627e-05,1.8892506691928617e-06,-3.1465115677452634e-05,-2.4059253054216617e-05
0.0175,-0.0018324672956432418,True,-0.0018324672956432418,8.308961724450871e-05,-0.001995322945442479,-0.0016696116458440047,-2.8167143778963117e-05,1.915545591430499e-06,-3.1921613138166895e-05,-2.441267441975934e-05
0.017750000000000002,-0.0018307290126718667,True,-0.0018307290126718667,8.304009446893282e-05,-0.001993487597830975,-0.0016679704275127584,-2.857247959638053e-05,1.9418081947944988e-06,-3.237842365817775e-05,-2.4766535534583313e-05
0.018000000000000002,-0.0018289858538588465,True,-0.0018289858538588465,8.299068580260312e-05,-0.0019916475980319487,-0.0016663241096857443,-2.897820457289779e-05,1.9680384321692356e-06,-3.283555989994949e-05,-2.5120849245846088e-05
0.01825,-0.0018272377395033206,True,-0.0018272377395033206,8.294139263636358e-05,-0.001989802869070593,-0.001664672609936048,-2.93843314633258e-05,1.9942362569950944e-06,-3.3293034527036186e-05,-2.5475628399615413e-05
0.0185,-0.0018254845899044296,True,-0.0018254845899044296,8.28922163929595e-05,-0.0019879533340346305,-0.001663015845774229,-2.979087302247549e-05,2.0204016232765633e-06,-3.3750860204097555e-05,-2.5830885840853424e-05
0.01875,-0.0018237263253613118,True,-0.0018237263253613118,8.284315852793898e-05,-0.001986098916076072,-0.0016613537346465515,-3.0197842005157752e-05,2.046534485590362e-06,-3.420904959691486e-05,-2.618663441340064e-05
0.019,-0.0018219628661731082,True,-0.0018219628661731082,8.27942205305679e-05,-0.0019842395384130213,-0.001659686193933195,-3.0605251166183516e-05,2.0726347990936022e-06,-3.4667615372406974e-05,-2.6542886959960055e-05
0.01925,-0.001820194132638957,True,-0.001820194132638957,8.274540392475898e-05,-0.0019823751243314845,-0.0016580131409464293,-3.101311326036368e-05,2.098702519531981e-06,-3.5126570198646365e-05,-2.6899656322081e-05
0.0195,-0.0018184200450579984,True,-0.0018184200450579984,8.269671027001404e-05,-0.001980505597187226,-0.001656334492928771,-3.142144104250917e-05,2.124737603248008e-06,-3.5585926744875263e-05,-2.7256955340143075e-05
0.01975,-0.001816640523729373,True,-0.001816640523729373,8.264814116238027e-05,-0.001978630880407638,-0.0016546501670511077,-3.18302472674309e-05,2.1507400071892674e-06,-3.604569768152187e-05,-2.7614796853339935e-05
0.02,-0.001814855488952219,True,-0.001814855488952219,8.259969823542003e-05,-0.001976750897493642,-0.0016529600804107958,-3.223954468993977e-05,2.176709688916711e-06,-3.650589568021653e-05,-2.797319369966302e-05
0.02025,-0.001813064861025677,True,-0.001813064861025677,8.255138316119444e-05,-0.001974865572021618,-0.001651264150029736,-3.264934606484669e-05,2.202646606612993e-06,-3.696653341380816e-05,-2.8332158715885228e-05
0.0205,-0.0018112685602488863,True,-0.0018112685602488863,8.250319765126052e-05,-0.001972974827645357,-0.0016495622928524157,-3.30596641469626e-05,2.2285507190908237e-06,-3.7427623556380615e-05,-2.8691704737544587e-05
0.02075,-0.0018094665069209863,True,-0.0018094665069209863,8.245514345768216e-05,-0.001971078588098043,-0.0016478544257439293,-3.347051169109839e-05,2.2544219858013787e-06,-3.788917878326909e-05,-2.905184459892769e-05
0.021,-0.001807658621341117,True,-0.001807658621341117,8.24072223740547e-05,-0.0019691767771942642,-0.0016461404654879697,-3.388190145206498e-05,2.2802603668427224e-06,-3.835121177107672e-05,-2.9412591133053246e-05
0.02125,-0.0018058448238084173,True,-0.0018058448238084173,8.235943623654308e-05,-0.0019672693188320417,-0.001644420328784793,-3.4293846184673273e-05,2.3060658229682804e-06,-3.8813735197691106e-05,-2.9773957171655444e-05
0.021500000000000002,-0.0018040250346220276,True,-0.0018040250346220276,8.231178692493386e-05,-0.0019653561369948978,-0.0016426939322491572,-3.47063586437342e-05,2.3318383155953435e-06,-3.9276761742301074e-05,-3.0135955545167326e-05
0.021750000000000002,-0.0018021991740810876,True,-0.0018021991740810876,8.226427636370067e-05,-0.001963437155753941,-0.0016409611924082343,-3.5119451584058654e-05,2.3575778068135987e-06,-3.9740304085413305e-05,-3.0498599082704002e-05
0.022,-0.0018003671624847366,True,-0.0018003671624847366,8.221690652308338e-05,-0.0019615122992699798,-0.0016392220256994932,-3.553313776045757e-05,2.383284259393713e-06,-4.0204374908869246e-05,-3.086190061204589e-05
0.02225,-0.001798528920132114,True,-0.001798528920132114,8.216967942018094e-05,-0.0019595814917956686,-0.0016374763484685593,-3.594742992774185e-05,2.4089576367959304e-06,-4.066898689586188e-05,-3.1225872959621826e-05
0.0225,-0.0017966843673223602,True,-0.0017966843673223602,8.212259712005763e-05,-0.0019576446576776733,-0.0016357240769670472,-3.63623408407224e-05,2.4345979031787287e-06,-4.113415273095271e-05,-3.159052895049209e-05
0.02275,-0.0017948334243546133,True,-0.0017948334243546133,8.207566173686305e-05,-0.001955701721358865,-0.0016339651273503618,-3.677788325421014e-05,2.4602050234074905e-06,-4.159988510008882e-05,-3.1955881408331455e-05
