azimuthOverPi,mu,D,sign
1.19166666667,-0.977777777778,-0.077426855534368247,-1
1.2,-0.977777777778,-0.080349333830731021,-1
1.20833333333,-0.977777777778,-0.083216744707224941,-1
1.21666666667,-0.977777777778,-0.08602712298366573,-1
1.225,-0.977777777778,-0.088778542567164165,-1
1.23333333333,-0.977777777778,-0.091469117772174202,-1
1.24166666667,-0.977777777778,-0.09409700461284759,-1
1.25,-0.977777777778,-0.09666040206680962,-1
1.25833333333,-0.977777777778,-0.099157553309489804,-1
1.26666666667,-0.977777777778,-0.10158674691816202,-1
1.275,-0.977777777778,-0.10394631804486773,-1
1.28333333333,-0.977777777778,-0.10623464955741996,-1
1.29166666667,-0.977777777778,-0.10845017314770468,-1
1.3,-0.977777777778,-0.11059137040652101,-1
1.30833333333,-0.977777777778,-0.11265677386422289,-1
1.31666666667,-0.977777777778,-0.1146449679964496,-1
1.325,-0.977777777778,-0.11655459019425553,-1
1.33333333333,-0.977777777778,-0.11838433169797401,-1
1.34166666667,-0.977777777778,-0.12013293849417603,-1
1.35,-0.977777777778,-0.12179921217510828,-1
1.35833333333,-0.977777777778,-0.12338201076002214,-1
1.36666666667,-0.977777777778,-0.12488024947782997,-1
1.375,-0.977777777778,-0.12629290151055336,-1
1.38333333333,-0.977777777778,-0.12761899869705265,-1
1.39166666667,-0.977777777778,-0.12885763219655622,-1
1.4,-0.977777777778,-0.1300079531115346,-1
1.40833333333,-0.977777777778,-0.13106917306949248,-1
