p,mu,c,norm,gain,N,dtMax,finiteDimensionalOnly
1.0,1e-08,1e-08,hminus1,0.9999999924999995,10,0.0025,True
1.0,1e-08,1e-08,balanced_l2,0.9999999926044685,10,0.0025,True
1.0,1e-08,1e-08,kinetic,0.9999999926018476,10,0.0025,True
1.0,1e-08,1e-08,kinetic_under,0.9999999925000095,10,0.0025,True
1.0,1e-08,1e-08,kinetic_over,1.0000010109818425,10,0.0025,True
1.0,1e-09,1e-09,raw_q,1.0103348023639858,10,0.0025,True
1.0,1e-09,1e-09,xmu,0.9999999992499999,10,0.0025,True
1.0,1e-09,1e-09,hminus1,0.9999999992499997,10,0.0025,True
1.0,1e-09,1e-09,balanced_l2,0.9999999992604467,10,0.0025,True
1.0,1e-09,1e-09,kinetic,0.9999999992601846,10,0.0025,True
1.0,1e-09,1e-09,kinetic_under,0.9999999992500002,10,0.0025,True
1.0,1e-09,1e-09,kinetic_over,1.0000003213224884,10,0.0025,True
1.0,1e-10,1e-10,raw_q,1.0103348030638974,10,0.0025,True
1.0,1e-10,1e-10,xmu,0.9999999999249931,10,0.0025,True
1.0,1e-10,1e-10,hminus1,0.9999999999249931,10,0.0025,True
1.0,1e-10,1e-10,balanced_l2,0.9999999999260382,10,0.0025,True
1.0,1e-10,1e-10,kinetic,0.9999999999260119,10,0.0025,True
1.0,1e-10,1e-10,kinetic_under,0.999999999924993,10,0.0025,True
1.0,1e-10,1e-10,kinetic_over,1.0000001017732814,10,0.0025,True
1.0,1e-11,1e-11,raw_q,1.010334803133902,10,0.0025,True
1.0,1e-11,1e-11,xmu,0.9999999999925059,10,0.0025,True
1.0,1e-11,1e-11,hminus1,0.9999999999925059,10,0.0025,True
1.0,1e-11,1e-11,balanced_l2,0.9999999999926104,10,0.0025,True
1.0,1e-11,1e-11,kinetic,0.9999999999926077,10,0.0025,True
1.0,1e-11,1e-11,kinetic_under,0.9999999999925062,10,0.0025,True
1.0,1e-11,1e-11,kinetic_over,1.0000000321997649,10,0.0025,True
1.0,1e-12,1e-12,raw_q,1.0103348031408788,10,0.0025,True
1.0,1e-12,1e-12,xmu,0.9999999999992343,10,0.0025,True
1.0,1e-12,1e-12,hminus1,0.9999999999992335,10,0.0025,True
1.0,1e-12,1e-12,balanced_l2,0.9999999999992444,10,0.0025,True
1.0,1e-12,1e-12,kinetic,0.9999999999992439,10,0.0025,True
1.0,1e-12,1e-12,kinetic_under,0.9999999999992341,10,0.0025,True
1.0,1e-12,1e-12,kinetic_over,1.0000000101840634,10,0.0025,True
1.0,1e-13,1e-13,raw_q,1.0103348031416037,10,0.0025,True
1.0,1e-13,1e-13,xmu,0.999999999999933,10,0.0025,True
1.0,1e-13,1e-13,hminus1,0.9999999999999336,10,0.0025,True
1.0,1e-13,1e-13,balanced_l2,0.9999999999999344,10,0.0025,True
1.0,1e-13,1e-13,kinetic,0.9999999999999344,10,0.0025,True
1.0,1e-13,1e-13,kinetic_under,0.9999999999999328,10,0.0025,True
1.0,1e-13,1e-13,kinetic_over,1.0000000032206595,10,0.0025,True
1.0,1e-14,1e-14,raw_q,1.0103348031416726,10,0.0025,True
1.0,1e-14,1e-14,xmu,1.0,10,0.0025,True
1.0,1e-14,1e-14,hminus1,1.0000000000000002,10,0.0025,True
1.0,1e-14,1e-14,balanced_l2,1.0000000000000002,10,0.0025,True
1.0,1e-14,1e-14,kinetic,0.9999999999999998,10,0.0025,True
1.0,1e-14,1e-14,kinetic_under,1.0,10,0.0025,True
1.0,1e-14,1e-14,kinetic_over,1.0000000010184826,10,0.0025,True
