branch,N,epsilon,sampleIndex,d,lambda,lambdaImaginary,cumulativeAction,fixedContourCount,phaseAnchorAbs,eigenResidualRelative,finiteCompressionOnly
inviscid,40,0,53,0.0018402777777777777,0.16979416748784953,5.9796949586288764e-16,0.00031303266291978301,1,0.26925680358753462,7.0597438761993665e-16,true
inviscid,40,0,54,0.0018749999999999999,0.16978262124532378,1.2674957661293562e-16,0.00031892809327598552,1,0.26926466949758948,7.3756928755495521e-16,true
inviscid,40,0,55,0.0019097222222222222,0.16977107629816693,5.5094704715401834e-17,0.00032482312274347876,1,0.26927253623395475,6.1957992690287589e-16,true
inviscid,40,0,56,0.0019444444444444444,0.16975953264618904,1.5340110470383404e-16,0.00033071775136723759,1,0.26928040379660523,4.9382390210421714e-16,true
inviscid,40,0,57,0.0019791666666666668,0.16974799028920445,-1.8034365215235905e-16,0.00033661197919223029,1,0.2692882721855252,7.070770709241033e-16,true
inviscid,40,0,58,0.0020138888888888888,0.16973644922702824,-6.0790172080597543e-17,0.0003425058062634185,1,0.26929614140069019,5.7989016487997187e-16,true
inviscid,40,0,59,0.0020486111111111113,0.16972490945947336,3.1614526671841415e-16,0.00034839923262575795,1,0.26930401144208144,8.3020080442727053e-16,true
inviscid,40,0,60,0.0020833333333333333,0.1697133709863495,1.4440041882115093e-16,0.00035429225832419713,1,0.26931188230967484,6.2864455251796568e-16,true
inviscid,40,0,61,0.0021180555555555558,0.16970183380747486,1.5244946205847962e-16,0.0003601848834036786,1,0.26931975400345265,5.9880582648843432e-16,true
inviscid,40,0,62,0.0021527777777777778,0.16969029792266097,3.5174950054798934e-17,0.00036607710790913814,1,0.26932762652339198,6.0925897118115241e-16,true
inviscid,40,0,63,0.0021875000000000002,0.16967876333172294,-2.2026754160313716e-16,0.00037196893188550542,1,0.26933549986947275,4.8375966274792021e-16,true
inviscid,40,0,64,0.0022222222222222222,0.16966723003447254,-3.1003523499717876e-16,0.00037786035537770328,1,0.26934337404167269,5.9017807004709254e-16,true
