sampleIndex,deltaExact,deltaDecimal,nearSaturationMeasureSquaredExact,nearSaturationMeasureDecimal,classification
181,181/400,0.45250000000000001,112039/160000,0.83680568234208352,exact squared-measure presentation row
182,91/200,0.45500000000000002,28119/40000,0.83843604407253391,exact squared-measure presentation row
183,183/400,0.45750000000000002,112911/160000,0.84005580171795735,exact squared-measure presentation row
184,23/50,0.46000000000000002,1771/2500,0.84166501650003256,exact squared-measure presentation row
185,37/80,0.46250000000000002,4551/6400,0.84326374877614652,exact squared-measure presentation row
186,93/200,0.46500000000000002,28551/40000,0.84485205805513663,exact squared-measure presentation row
187,187/400,0.46750000000000003,114631/160000,0.84643000301265314,exact squared-measure presentation row
188,47/100,0.46999999999999997,7191/10000,0.8479976415061542,exact squared-measure presentation row
189,189/400,0.47249999999999998,115479/160000,0.8495550305895434,exact squared-measure presentation row
190,19/40,0.47499999999999998,1159/1600,0.85110222652746004,exact squared-measure presentation row
191,191/400,0.47749999999999998,116319/160000,0.85263928480923279,exact squared-measure presentation row
192,12/25,0.47999999999999998,456/625,0.85416626016250496,exact squared-measure presentation row
193,193/400,0.48249999999999998,117151/160000,0.8556832065665424,exact squared-measure presentation row
194,97/200,0.48499999999999999,29391/40000,0.85719017726523206,exact squared-measure presentation row
195,39/80,0.48749999999999999,4719/6400,0.85868722477977977,exact squared-measure presentation row
196,49/100,0.48999999999999999,7399/10000,0.86017440092111552,exact squared-measure presentation row
197,197/400,0.49249999999999999,118791/160000,0.86165175680201567,exact squared-measure presentation row
198,99/200,0.495,29799/40000,0.86311934284894809,exact squared-measure presentation row
199,199/400,0.4975,119599/160000,0.86457720881364897,exact squared-measure presentation row
200,1/2,0.5,3/4,0.8660254037844386,exact squared-measure presentation row
201,201/400,0.50249999999999995,120399/160000,0.86746397619728277,exact squared-measure presentation row
202,101/200,0.505,30199/40000,0.86889297384660669,exact squared-measure presentation row
203,203/400,0.50749999999999995,121191/160000,0.87031244389586893,exact squared-measure presentation row
204,51/100,0.51000000000000001,7599/10000,0.87172243288790041,exact squared-measure presentation row
205,41/80,0.51249999999999996,4879/6400,0.8731229867550161,exact squared-measure presentation row
206,103/200,0.51500000000000001,30591/40000,0.87451415082890449,exact squared-measure presentation row
207,207/400,0.51749999999999996,122751/160000,0.87589596985030138,exact squared-measure presentation row
208,13/25,0.52000000000000002,481/625,0.87726848797845236,exact squared-measure presentation row
209,209/400,0.52249999999999996,123519/160000,0.87863174880037198,exact squared-measure presentation row
210,21/40,0.52500000000000002,1239/1600,0.87998579533990207,exact squared-measure presentation row
211,211/400,0.52749999999999997,124279/160000,0.88133067006657606,exact squared-measure presentation row
212,53/100,0.53000000000000003,7791/10000,0.88266641490429443,exact squared-measure presentation row
213,213/400,0.53249999999999997,125031/160000,0.88399307123981463,exact squared-measure presentation row
214,107/200,0.53500000000000003,31351/40000,0.88531067993106238,exact squared-measure presentation row
215,43/80,0.53749999999999998,5031/6400,0.88661928131526668,exact squared-measure presentation row
216,27/50,0.54000000000000004,1971/2500,0.88791891521692456,exact squared-measure presentation row
217,217/400,0.54249999999999998,126511/160000,0.88920962095559897,exact squared-measure presentation row
218,109/200,0.54500000000000004,31719/40000,0.89049143735355474,exact squared-measure presentation row
219,219/400,0.54749999999999999,127239/160000,0.89176440274323576,exact squared-measure presentation row
