N,saturationNormalGainSquaredExact,saturationNormalGainDecimal,saturationPlanarGainSquaredExact,saturationPlanarGainDecimal,halfLimitNormalGainSquaredExact,halfLimitNormalGainDecimal,halfLimitPlanarGainSquaredExact,halfLimitPlanarGainDecimal,classification
130,1/1,1,1/16901,0.0076920801193392152,1/2,0.70710678118654757,17161/68122,0.50191202485149311,exact all-index family presentation row
131,1/1,1,1/17162,0.0076333653850537246,1/2,0.70710678118654757,8712/34585,0.5018975126451255,exact all-index family presentation row
132,1/1,1,1/17425,0.0075755401907857019,1/2,0.70710678118654757,17689/70226,0.50188321907132516,exact all-index family presentation row
133,1/1,1,1/17690,0.0075185844740172907,1/2,0.70710678118654757,8978/35645,0.50186913922639353,exact all-index family presentation row
134,1/1,1,1/17957,0.0074624787710271109,1/2,0.70710678118654757,18225/72362,0.50185526835218897,exact all-index family presentation row
135,1/1,1,1/18226,0.0074072041947163304,1/2,0.70710678118654757,9248/36721,0.50184160183076532,exact all-index family presentation row
136,1/1,1,1/18497,0.0073527424134128133,1/2,0.70710678118654757,18769/74530,0.50182813517924663,exact all-index family presentation row
137,1/1,1,1/18770,0.0072990756306033694,1/2,0.70710678118654757,9522/37813,0.50181486404492448,exact all-index family presentation row
138,1/1,1,1/19045,0.0072461865655470544,1/2,0.70710678118654757,19321/76730,0.50180178420056798,exact all-index family presentation row
139,1/1,1,1/19322,0.0071940584347251401,1/2,0.70710678118654757,9800/38921,0.50178889153993411,exact all-index family presentation row
140,1/1,1,1/19601,0.0071426749340859474,1/2,0.70710678118654757,19881/78962,0.50177618207347041,exact all-index family presentation row
141,1/1,1,1/19882,0.0070920202220450829,1/2,0.70710678118654757,10082/40045,0.50176365192419892,exact all-index family presentation row
142,1/1,1,1/20165,0.0070420789032038453,1/2,0.70710678118654757,20449/81226,0.50175129732377344,exact all-index family presentation row
143,1/1,1,1/20450,0.0069928360127506561,1/2,0.70710678118654757,10368/41185,0.50173911460870124,exact all-index family presentation row
144,1/1,1,1/20737,0.0069442770015123202,1/2,0.70710678118654757,21025/83522,0.5017271002167214,exact all-index family presentation row
145,1/1,1,1/21026,0.006896387721623749,1/2,0.70710678118654757,10658/42341,0.50171525068333211,exact all-index family presentation row
146,1/1,1,1/21317,0.0068491544127865008,1/2,0.70710678118654757,21609/85850,0.50170356263846028,exact all-index family presentation row
147,1/1,1,1/21610,0.0068025636890881036,1/2,0.70710678118654757,10952/43513,0.5016920328032658,exact all-index family presentation row
148,1/1,1,1/21905,0.0067566025263556418,1/2,0.70710678118654757,22201/88210,0.50168065798707528,exact all-index family presentation row
149,1/1,1,1/22202,0.0067112582500185149,1/2,0.70710678118654757,11250/44701,0.50166943508443851,exact all-index family presentation row
150,1/1,1,1/22501,0.0066665185234566068,1/2,0.70710678118654757,22801/90602,0.50165836107230155,exact all-index family presentation row
151,1/1,1,1/22802,0.0066223713368113706,1/2,0.70710678118654757,11552/45905,0.50164743300729231,exact all-index family presentation row
152,1/1,1,1/23105,0.0065788049962385107,1/2,0.70710678118654757,23409/93026,0.50163664802311259,exact all-index family presentation row
153,1/1,1,1/23410,0.0065358081135820645,1/2,0.70710678118654757,11858/47125,0.50162600332803131,exact all-index family presentation row
154,1/1,1,1/23717,0.0064933695964507375,1/2,0.70710678118654757,24025/95482,0.50161549620247581,exact all-index family presentation row
155,1/1,1,1/24026,0.0064514786386783126,1/2,0.70710678118654757,12168/48361,0.50160512399671486,exact all-index family presentation row
156,1/1,1,1/24337,0.0064101247111509226,1/2,0.70710678118654757,24649/97970,0.50159488412863174,exact all-index family presentation row
157,1/1,1,1/24650,0.0063692975529848197,1/2,0.70710678118654757,12482/49613,0.50158477408158053,exact all-index family presentation row
158,1/1,1,1/24965,0.0063289871630391129,1/2,0.70710678118654757,25281/100490,0.50157479140232475,exact all-index family presentation row
159,1/1,1,1/25282,0.0062891837917487406,1/2,0.70710678118654757,12800/50881,0.5015649336990522,exact all-index family presentation row
160,1/1,1,1/25601,0.0062498779332636626,1/2,0.70710678118654757,25921/103042,0.50155519863946507,exact all-index family presentation row
161,1/1,1,1/25922,0.0062110603178809594,1/2,0.70710678118654757,13122/52165,0.50154558394893978,exact all-index family presentation row
162,1/1,1,1/26245,0.0061727219047571901,1/2,0.70710678118654757,26569/105626,0.50153608740875577,exact all-index family presentation row
163,1/1,1,1/26570,0.0061348538748889625,1/2,0.70710678118654757,13448/53465,0.50152670685438794,exact all-index family presentation row
164,1/1,1,1/26897,0.0060974476243502891,1/2,0.70710678118654757,27225/108242,0.50151744017386279,exact all-index family presentation row
165,1/1,1,1/27226,0.0060604947577758148,1/2,0.70710678118654757,13778/54781,0.50150828530617209,exact all-index family presentation row
166,1/1,1,1/27557,0.0060239870820795677,1/2,0.70710678118654757,27889/110890,0.50149924023974601,exact all-index family presentation row
167,1/1,1,1/27890,0.0059879166003993503,1/2,0.70710678118654757,14112/56113,0.50149030301097852,exact all-index family presentation row
168,1/1,1,1/28225,0.0059522755062573754,1/2,0.70710678118654757,28561/113570,0.5014814717028071,exact all-index family presentation row
169,1/1,1,1/28562,0.0059170561779281943,1/2,0.70710678118654757,14450/57461,0.50147274444334133,exact all-index family presentation row
170,1/1,1,1/28901,0.0058822511730053746,1/2,0.70710678118654757,29241/116282,0.50146411940454039,exact all-index family presentation row
171,1/1,1,1/29242,0.0058478532231588014,1/2,0.70710678118654757,14792/58825,0.5014555948009366,exact all-index family presentation row
172,1/1,1,1/29585,0.0058138552290748404,1/2,0.70710678118654757,29929/119026,0.50144716888840302,exact all-index family presentation row
173,1/1,1,1/29930,0.0057802502555719644,1/2,0.70710678118654757,15138/60205,0.50143883996296434,exact all-index family presentation row
174,1/1,1,1/30277,0.0057470315268847872,1/2,0.70710678118654757,30625/121802,0.50143060635964742,exact all-index family presentation row
175,1/1,1,1/30626,0.0057141924221097732,1/2,0.70710678118654757,15488/61601,0.50142246645137234,exact all-index family presentation row
176,1/1,1,1/30977,0.0056817264708061777,1/2,0.70710678118654757,31329/124610,0.50141441864787983,exact all-index family presentation row
177,1/1,1,1/31330,0.0056496273487461075,1/2,0.70710678118654757,15842/63013,0.50140646139469647,exact all-index family presentation row
178,1/1,1,1/31685,0.0056178888738078053,1/2,0.70710678118654757,32041/127450,0.50139859317213298,exact all-index family presentation row
179,1/1,1,1/32042,0.0055865050020065862,1/2,0.70710678118654757,16200/64441,0.50139081249431683,exact all-index family presentation row
180,1/1,1,1/32401,0.0055554698236580553,1/2,0.70710678118654757,32761/130322,0.50138311790825696,exact all-index family presentation row
181,1/1,1,1/32762,0.0055247775596684989,1/2,0.70710678118654757,16562/65885,0.50137550799293928,exact all-index family presentation row
182,1/1,1,1/33125,0.0054944225579475611,1/2,0.70710678118654757,33489/133226,0.50136798135845173,exact all-index family presentation row
183,1/1,1,1/33490,0.0054643992899385159,1/2,0.70710678118654757,16928/67345,0.5013605366451378,exact all-index family presentation row
184,1/1,1,1/33857,0.0054347023472616843,1/2,0.70710678118654757,34225/136162,0.50135317252277811,exact all-index family presentation row
185,1/1,1,1/34226,0.0054053264384666868,1/2,0.70710678118654757,17298/68821,0.50134588768979782,exact all-index family presentation row
186,1/1,1,1/34597,0.0053762663858894656,1/2,0.70710678118654757,34969/139130,0.50133868087249955,exact all-index family presentation row
187,1/1,1,1/34970,0.0053475171226101299,1/2,0.70710678118654757,17672/70313,0.50133155082432146,exact all-index family presentation row
188,1/1,1,1/35345,0.005319073689507888,1/2,0.70710678118654757,35721/142130,0.50132449632511833,exact all-index family presentation row
189,1/1,1,1/35722,0.0052909312324094593,1/2,0.70710678118654757,18050/71821,0.50131751618046494,exact all-index family presentation row
190,1/1,1,1/36101,0.005263084999327536,1/2,0.70710678118654757,36481/145162,0.50131060922098269,exact all-index family presentation row
191,1/1,1,1/36482,0.0052355303377859732,1/2,0.70710678118654757,18432/73345,0.50130377430168604,exact all-index family presentation row
192,1/1,1,1/36865,0.0052082626922285713,1/2,0.70710678118654757,37249/148226,0.50129701030134999,exact all-index family presentation row
193,1/1,1,1/37250,0.0051812776015083984,1/2,0.70710678118654757,18818/74885,0.50129031612189656,exact all-index family presentation row
194,1/1,1,1/37637,0.00515457069645476,1/2,0.70710678118654757,38025/151322,0.5012836906878011,exact all-index family presentation row
195,1/1,1,1/38026,0.0051281376975150245,1/2,0.70710678118654757,19208/76441,0.50127713294551568,exact all-index family presentation row
196,1/1,1,1/38417,0.0051019744124686231,1/2,0.70710678118654757,38809/154450,0.50127064186291115,exact all-index family presentation row
197,1/1,1,1/38810,0.0050760767342106789,1/2,0.70710678118654757,19602/78013,0.50126421642873498,exact all-index family presentation row
198,1/1,1,1/39205,0.005050440638602785,1/2,0.70710678118654757,39601/157610,0.50125785565208658,exact all-index family presentation row
199,1/1,1,1/39602,0.0050250621823885793,1/2,0.70710678118654757,20000/79601,0.50125155856190784,exact all-index family presentation row
200,1/1,1,1/40001,0.0049999375011718509,1/2,0.70710678118654757,40401/160802,0.50124532420648837,exact all-index family presentation row
