replicate,index,xZone,yZone,xRole,yRole,pairClass,c0,c1,c2,c3
14,-6,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,-6,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
14,-6,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.00011776189708423777,7.492729037157587e-05,-0.0005031402719958653,0.0003104510845400516
14,-6,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-0.0004511802427085694,0.0009023604854171384,-0.00045118024270856914
14,-6,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
14,-6,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,-6,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.6543612251060553e-24,6.617444900424222e-24,4.3503823484872764e-09
14,-6,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-1.5720931501039814e-18,8.239936510889834e-18,0.00029764828604871203
14,-5,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,-5,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0015862561607597136,-0.003172512321519429,0.0015862561607597192,-3.469446951953614e-18
14,-5,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,-5,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
14,-5,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.0010461849939260319,-0.0007530789511083231,-0.0016323970795614484,0.0013392910367437394
14,-5,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-0.002847560728106156,0.00569512145621231,-0.0028475607281061546
14,-5,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
14,-5,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,-5,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,2.371692252312041e-20,-4.0657581468206416e-20,1.9776370002784903e-05
14,-5,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-1.3823577699190182e-18,6.830473686658678e-18,0.00018302155195183396
14,-4,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,-4,0,1,inner-core,inner-transition,inner-core--inner-transition,0.016781070966098516,-0.03356214193219703,0.016781070966098488,0.0
