mOverR,sOverM,operatorNormOverTargetFrequency,stretchEntryOverTargetFrequency
0.02,13.33521432163324,0.9664307123249661,0.9633406935429205
0.02,14.12537544622755,0.962540441151456,0.9597546129493529
0.02,14.96235656094434,0.9582308972238683,0.9557166253851371
0.02,15.84893192461114,0.9534637253647639,0.951191898425344
0.02,16.78804018122561,0.9481986354133677,0.946143292957614
0.02,17.78279410038923,0.9423936792626944,0.940531678665314
0.02,18.83649089489802,0.9360056312177685,0.9343163490221758
0.02,19.95262314968881,0.9289904845955119,0.9274555490464553
0.02,21.13489039836648,0.9213040754117818,0.9199071269680437
0.02,22.3872113856834,0.9129028404849064,0.9116293174256611
0.02,23.71373705661655,0.9037447120978872,0.9025816586039782
0.02,25.11886431509582,0.8937901443656681,0.8927260387053408
0.02,26.60725059798811,0.8830032576657524,0.8820278583442708
0.02,28.18382931264455,0.8713530771444251,0.8704572850897994
0.02,29.8538261891796,0.8588148299169202,0.8579905649710096
0.02,31.62277660168379,0.8453712539571017,0.8446113441239239
0.02,33.49654391578279,0.8310138609411017,0.8303119430133363
0.02,35.48133892335757,0.8157440868248542,0.8150945171661016
0.02,37.58374042884443,0.7995742591520998,0.7989720335568666
0.02,39.81071705534973,0.7825283103599949,0.7819689920457316
0.02,42.16965034285823,0.7646421726799155,0.7641218275855071
0.02,44.66835921509634,0.7459638030322322,0.7454789417047063
0.02,47.31512589614807,0.7265528052048569,0.7261003306502649
0.02,50.11872336272725,0.7064796403273076,0.7060568012824451
0.02,53.08844442309885,0.6858244431349876,0.6854287922838375
0.02,56.23413251903491,0.664675488114591,0.664304844827605
0.02,59.56621435290109,0.643127373476965,0.6427797906935742
0.02,63.09573444801936,0.6212790093994344,0.6209527443060485
0.02,66.83439175686149,0.5992315081514128,0.598924996330645
0.02,70.79457843841381,0.5770860765622255,0.5767979093063507
0.02,74.98942093324558,0.5549420058934842,0.5546709103884875
0.02,79.43282347242821,0.5328948416406432,0.5326396637386583
0.02,84.13951416451955,0.5110347979802893,0.5107944872894689
0.02,89.12509381337459,0.4894454607910269,0.489219057824112
0.02,94.40608762859236,0.468202801739148,0.4679894268759263
0.02,100,0.4473745058861586,0.4471733499208218
0.10,0.01,0.9999999999500051,0.009949869495138824
0.10,0.01059253725177289,0.9999999999370608,0.01053937139785294
0.10,0.01122018454301964,0.9999999999207657,0.01116379124636471
0.10,0.01188502227437018,0.9999999999002512,0.01182519575265783
0.10,0.01258925411794167,0.9999999998744261,0.01252577365450818
0.10,0.01333521432163324,0.9999999998419147,0.01326784286410041
0.10,0.01412537544622754,0.9999999998009869,0.01405385802481326
0.10,0.01496235656094434,0.9999999997494636,0.01488641849745973
0.10,0.01584893192461113,0.9999999996846021,0.01576827679798509
0.10,0.01678804018122561,0.9999999996029502,0.01670234750928313
0.10,0.01778279410038923,0.9999999995001613,0.01769171669036622
0.10,0.018836490894898,0.9999999993707649,0.01873965180659093
0.10,0.0199526231496888,0.9999999992078749,0.01984961220496425
0.10,0.02113489039836646,0.999999999002823,0.02102526015869676
0.10,0.0223872113856834,0.9999999987446984,0.02227047250507959
0.10,0.02371373705661655,0.9999999984197677,0.02358935290038423
0.10,0.02511886431509579,0.9999999980107444,0.02498624471474939
0.10,0.0266072505979881,0.999999997495872,0.02646574458884367
0.10,0.02818382931264454,0.9999999968477672,0.02803271667237921
0.10,0.0298538261891796,0.9999999960319661,0.02969230756218201
0.10,0.03162277660168379,0.9999999950050947,0.03144996195435892
0.10,0.03349654391578276,0.9999999937125686,0.0333114390209765
0.10,0.03548133892335755,0.9999999920856969,0.03528282951638437
0.10,0.03758374042884443,0.9999999900380417,0.03737057361164681
0.10,0.03981071705534973,0.9999999874608388,0.03958147944721806
0.10,0.04216965034285822,0.9999999842172395,0.04192274238368789
0.10,0.0446683592150963,0.9999999801350704,0.04440196491776081
0.10,0.04731512589614805,0.999999974997732,0.04702717721517442
