degree,exact,decimal
403,2191660240/355188483,6.170414709082783
404,137570620/22309587,6.166435084611831
405,40432/6561,6.162475232434081
406,555032320/90124083,6.158535005565605
407,2229658960/362274363,6.154614258475696
408,3887515/632043,6.15071284706895
409,2248778320/365843547,6.146830628667614
410,22583680/3676347,6.142967461994203
411,251997520/41047803,6.139123207154351
412,142350460/23201883,6.135297725619942
413,2287257040/373034403,6.131490880212461
414,7089280/1156923,6.127702535086605
415,92264656/15066243,6.123932555714122
416,36192595/5913648,6.120180808867893
417,258450640/42255027,6.116447162606239
418,583951360/95530347,6.11273148625745
419,2345575120/383951907,6.109033650404554
420,654268/107163,6.105353526870282
421,2365174480/387626067,6.101690988702264
422,593751040/97367427,6.098045910158435
423,29442640/4831083,6.094418166692645
424,37417555/6143283,6.090807634940471
425,96184528/15801075,6.087214192705243
426,67070080/11024667,6.083637718944255
427,2424452560/398753523,6.080078093755175
428,152150140/25038963,6.076535198362648
429,271596880/44721963,6.07300891510509
430,24543616/4043763,6.069499127421661
431,2464371280/406259307,6.066005719839422
432,53035/8748,6.062528577960677
433,2484450640/410038443,6.059067588450481
434,623630080/102983643,6.055622639024335
435,11131600/1839267,6.05219361843604
436,157169980/25983747,6.048780416465724
437,2524849360/417649203,6.045382923908034
438,70416640/11654523,6.042001032560492
439,2545168720/421480827,6.038634635212007
440,1597099/264627,6.035283625631549
441,31673680/5250987,6.031947898556976
442,643949440/106815267,6.028627349684011
443,2586047440/429196563,6.025321875655374
444,18029980/2994003,6.02203137405006
445,104264272/17323227,6.018755743372756
446,654229120/108757323,6.015494883043416
447,291916240/48553587,6.012248693386958
448,41212435/6858432,6.009017075623116
449,2647965520/440901387,6.005799931856417
450,328192/54675,6.002597165066301
451,2668764880/444837987,5.999408679097363
452,167449660/27925803,5.996234378649739
453,298849360/49865787,5.993074169269604
454,675028480/112693923,5.989927957339812
455,108424144/18110547,5.986795650070647
456,4724155/789507,5.983677155490705
457,2731642960/456752763,5.980572382437892
458,685548160/114688467,5.977481240550543
459,3776080/632043,5.974403640258653
460,6908380/1156923,5.971339492775233
461,2773961680/464783427,5.968288710087763
462,77349760/12966723,5.965251204949778
463,2795241040/468825003,5.962226890872541
464,43842355/7357068,5.959215682116843
465,12518224/2101707,5.956217493684895
466,706827520/118730043,5.953232241312336
467,2838039760/476960643,5.950259841460336
468,2198140/369603,5.947300211307809
469,2859559120/481054707,5.944353268743715
470,28703488/4831083,5.941418932359473
471,320128720/53907363,5.938497121441462
472,45187315/7612947,5.935587755963623
473,2902837840/489295323,5.932690756580152
474,80936320/13649067,5.929806044618288
475,116983888/19737675,5.926933542071191
476,183469180/30970107,5.924073171590915
477,36375760/6143283,5.921224856481461
478,739346560/124923627,5.918388520691926
479,2968355920/501787467,5.915564088809735
480,206899/34992,5.912751486053955
481,2990355280/505986507,5.909950638268699
482,750346240/127023147,5.907161471916611
483,334714960/56689227,5.904383914072421
484,188969020/32019867,5.901617892416605
485,121383760/20577483,5.898863335229095
486,348160/59049,5.896120171383089
487,3056833360/518688603,5.893388330338926
488,47937235/8137827,5.890667742138042
489,342128080/58106403,5.887958337396999
490,30903424/5250987,5.885260047301584
491,3101552080/527244147,5.882572803600985
492,21616540/3676347,5.879896538602042
493,3124031440/531548163,5.877231185163554
494,783825280/133426683,5.874576676690674
495,1553872/264627,5.871932947129356
496,49342195/8406828,5.869299930960881
