lengthScale,amplitudeOverViscosity,ratioFactor
2.304092976056e+00,0.25000000,1.327211110577e+00
2.371373705662e+00,0.25000000,1.405853312976e+00
2.440619068042e+00,0.25000000,1.489155358823e+00
2.511886431510e+00,0.25000000,1.577393361200e+00
2.585234839562e+00,0.25000000,1.670859793922e+00
2.660725059799e+00,0.25000000,1.769864460960e+00
2.738419634264e+00,0.25000000,1.874735523331e+00
2.818382931264e+00,0.25000000,1.985820586811e+00
2.900681198693e+00,0.25000000,2.103487854113e+00
2.985382618918e+00,0.25000000,2.228127345334e+00
3.072557365267e+00,0.25000000,2.360152190715e+00
3.162277660168e+00,0.25000000,2.500000000000e+00
3.254617834980e+00,0.25000000,2.648134312943e+00
3.349654391578e+00,0.25000000,2.805046135755e+00
3.447466065731e+00,0.25000000,2.971255568593e+00
3.548133892336e+00,0.25000000,3.147313529485e+00
3.651741272548e+00,0.25000000,3.333803580408e+00
3.758374042884e+00,0.25000000,3.531343861557e+00
3.868120546331e+00,0.25000000,3.740589140236e+00
3.981071705535e+00,0.25000000,3.962232981153e+00
4.097321098135e+00,0.25000000,4.197010045306e+00
4.216965034286e+00,0.25000000,4.445698525097e+00
4.340102636447e+00,0.25000000,4.709122723725e+00
4.466835921510e+00,0.25000000,4.988155787422e+00
4.597269885309e+00,0.25000000,5.283722599592e+00
4.731512589615e+00,0.25000000,5.596802846421e+00
4.869675251659e+00,0.25000000,5.928434264154e+00
5.011872336273e+00,0.25000000,6.279716078774e+00
5.158221650723e+00,0.25000000,6.651812649497e+00
5.308844442310e+00,0.25000000,7.045957328161e+00
5.463865498819e+00,0.25000000,7.463456547295e+00
5.623413251903e+00,0.25000000,7.905694150421e+00
5.787619883491e+00,0.25000000,8.374135978946e+00
5.956621435290e+00,0.25000000,8.870334730839e+00
6.130557921498e+00,0.25000000,9.395935107211e+00
6.309573444802e+00,0.25000000,9.952679263837e+00
6.493816315762e+00,0.25000000,1.054241258571e+01
6.683439175686e+00,0.25000000,1.116708980377e+01
6.878599123088e+00,0.25000000,1.182878147404e+01
7.079457843841e+00,0.25000000,1.252968084068e+01
7.286181745132e+00,0.25000000,1.327211110577e+01
7.498942093325e+00,0.25000000,1.405853312976e+01
7.717915155850e+00,0.25000000,1.489155358823e+01
7.943282347243e+00,0.25000000,1.577393361200e+01
8.175230379437e+00,0.25000000,1.670859793922e+01
8.413951416452e+00,0.25000000,1.769864460960e+01
8.659643233601e+00,0.25000000,1.874735523331e+01
8.912509381337e+00,0.25000000,1.985820586811e+01
9.172759353898e+00,0.25000000,2.103487854113e+01
9.440608762859e+00,0.25000000,2.228127345334e+01
9.716279515771e+00,0.25000000,2.360152190715e+01
1.000000000000e+01,0.25000000,2.500000000000e+01
1.029200527194e+01,0.25000000,2.648134312943e+01
1.059253725177e+01,0.25000000,2.805046135755e+01
1.090184492385e+01,0.25000000,2.971255568593e+01
1.122018454302e+01,0.25000000,3.147313529485e+01
1.154781984689e+01,0.25000000,3.333803580408e+01
1.188502227437e+01,0.25000000,3.531343861557e+01
1.223207119050e+01,0.25000000,3.740589140236e+01
1.258925411794e+01,0.25000000,3.962232981153e+01
1.295686697517e+01,0.25000000,4.197010045306e+01
1.333521432163e+01,0.25000000,4.445698525097e+01
1.372460961008e+01,0.25000000,4.709122723725e+01
1.412537544623e+01,0.25000000,4.988155787422e+01
1.453784385608e+01,0.25000000,5.283722599592e+01
1.496235656094e+01,0.25000000,5.596802846421e+01
1.539926526059e+01,0.25000000,5.928434264154e+01
1.584893192461e+01,0.25000000,6.279716078774e+01
1.631172909228e+01,0.25000000,6.651812649497e+01
1.678804018123e+01,0.25000000,7.045957328161e+01
1.727825980508e+01,0.25000000,7.463456547295e+01
1.778279410039e+01,0.25000000,7.905694150421e+01
1.830206106311e+01,0.25000000,8.374135978946e+01
1.883649089490e+01,0.25000000,8.870334730839e+01
1.938652635952e+01,0.25000000,9.395935107211e+01
1.995262314969e+01,0.25000000,9.952679263837e+01
2.053525026457e+01,0.25000000,1.054241258571e+02
2.113489039837e+01,0.25000000,1.116708980377e+02
2.175204034020e+01,0.25000000,1.182878147404e+02
2.238721138568e+01,0.25000000,1.252968084068e+02
2.304092976056e+01,0.25000000,1.327211110577e+02
2.371373705662e+01,0.25000000,1.405853312976e+02
2.440619068042e+01,0.25000000,1.489155358823e+02
2.511886431510e+01,0.25000000,1.577393361200e+02
